PFI,LOCALITY,GAZLOC,VICNAMESID,PFI_CR,UFI,UFI_CR,UFI_OLD,NAMESAKE,BROAD_CATEGORY1,LANGUAGE,DETAILS
205410311,ABBOTSFORD,ABBOTSFORD,100118,27/09/2005,468966689,24/10/2013,300942623,Place in the UK,Place outside Australia,Scottish,"Named after estate of John Orr, named after a ford in the Tweet River in Scotland used by the abbot of Melrose Abbey"
205410324,ABERFELDIE,ABERFELDIE,100119,27/09/2005,468966601,24/10/2013,300942385,Place in the UK,Place outside Australia,Scottish,"Named after estate of James Robertson, named after the town of Aberfeldy in Scotland"
205408517,ADA,ADA,100122,27/09/05,468966698,24/10/13,310738343,Early European settler,Person,English,"Named for the Ada Tree, itself named for Ada Mortimore (nee Hansen), local resident who know the surveyor"
205410084,AIRPORT WEST,AIRPORT WEST,100130,27/09/2005,468966512,24/10/2013,300942325,Function of place,Function of place,English,Suburb located west of Essendon Airport
205410303,ALBANVALE,ALBANVALE,100132,27/09/2005,468966572,24/10/2013,300942606,Other local places,Other local places,English,"Originally part of St Albans, derived from St Albans name"
205410237,ALBERT PARK,ALBERT PARK,100133,27/09/2005,539860421,6/10/2017,468966781,British nobility,Person,English,"Named in honour of Queen Victoria's consort, Prince Albert"
205410261,ALBION,ALBION,100136,27/09/2005,468966629,24/10/2013,300942521,Place in the UK,Place outside Australia,English,Ancient name for Great Britain
205410239,ALPHINGTON,ALPHINGTON,100153,27/09/2005,468966630,24/10/2013,300942464,Place in the UK,Place outside Australia,English,"Named after Alphington, Devon, England"
205409640,ALTONA,ALTONA,100154,27/09/2005,468966793,24/10/2013,300943349,Place in continental Europe,Place outside Australia,German,"Named after Altona near Hamburg, Germany"
205409833,ALTONA MEADOWS,ALTONA MEADOWS,100155,27/09/2005,468966827,24/10/2013,300945726,Place in continental Europe,Place outside Australia,German,"Named after Altona near Hamburg, Germany"
205409706,ALTONA NORTH,ALTONA NORTH,100156,27/09/2005,468966756,24/10/2013,300943247,Place in continental Europe,Place outside Australia,German,"Named after Altona near Hamburg, Germany"
205410294,ARDEER,ARDEER,100188,27/09/2005,468966633,24/10/2013,300942594,Other local places,Other local places,English,"Unknown for certain, possibly derived from neighbouring Deer Park"
205410284,ARMADALE,ARMADALE,100192,27/09/2005,541122141,27/10/2017,540660553,Place in the UK,Place outside Australia,Scottish,"Named after Armadale, Sutherland, Scotland"
205409018,ARTHURS CREEK,ARTHURS CREEK,100196,27/09/05,513238129,27/05/16,468966262,Early European settler,Person,English,"Named for Henry Arthur, one of the original investors in the Port Phillip Association"
205409911,ARTHURS SEAT,ARTHURS SEAT,100197,27/09/2005,468967439,24/10/2013,300942950,Place in the UK,Place outside Australia,Scottish,"Named after Arthur's Seat, Edinburgh, Scotland"
205410160,ASCOT VALE,ASCOT VALE,100200,27/09/2005,482420448,5/06/2014,468966642,Place in the UK,Place outside Australia,English,"Named after Ascot Racecourse, England"
205410231,ASHBURTON,ASHBURTON,100202,27/09/2005,536531432,4/08/2017,520894228,Place in Ireland,Place outside Australia,Irish,"Named after Ashburton Terrace in Cork, Ireland"
205410256,ASHWOOD,ASHWOOD,100203,27/09/2005,468966820,24/10/2013,300942503,Other local places,Other local places,English,Combination of neighbouring Ashburton and Burwood
205410230,ASPENDALE,ASPENDALE,100204,27/09/2005,468967027,24/10/2013,300942739,Animal,Nature,English,Named after horse of early European settler james Crooke
